Date,Year,ISOWeek,Milestone,Major,Minor,Patch
6/30/2025,2025,27,v0.02.0 - 2025W27,0,2,0
7/14/2025,2025,29,v0.03.0 - 2025W29,0,3,0
7/28/2025,2025,31,v0.04.0 - 2025W31,0,4,0
8/11/2025,2025,33,v0.05.0 - 2025W33,0,5,0
8/25/2025,2025,35,v0.06.0 - 2025W35,0,6,0
9/8/2025,2025,37,v0.07.0 - 2025W37,0,7,0
9/22/2025,2025,39,v0.08.0 - 2025W39,0,8,0
10/6/2025,2025,41,v0.09.0 - 2025W41,0,9,0
10/20/2025,2025,43,v0.10.0 - 2025W43,0,10,0
11/3/2025,2025,45,v0.11.0 - 2025W45,0,11,0
11/17/2025,2025,47,v0.12.0 - 2025W47,0,12,0
12/1/2025,2025,49,v0.13.0 - 2025W49,0,13,0
12/15/2025,2025,51,v0.14.0 - 2025W51,0,14,0
12/29/2025,2026,1,v0.15.0 - 2026W01,0,15,0
1/12/2026,2026,3,v0.16.0 - 2026W03,0,16,0
1/26/2026,2026,5,v0.17.0 - 2026W05,0,17,0
2/9/2026,2026,7,v0.18.0 - 2026W07,0,18,0
2/23/2026,2026,9,v0.19.0 - 2026W09,0,19,0
3/9/2026,2026,11,v0.20.0 - 2026W11,0,20,0
3/23/2026,2026,13,v0.21.0 - 2026W13,0,21,0
4/6/2026,2026,15,v0.22.0 - 2026W15,0,22,0
4/20/2026,2026,17,v0.23.0 - 2026W17,0,23,0
5/4/2026,2026,19,v0.24.0 - 2026W19,0,24,0
5/18/2026,2026,21,v0.25.0 - 2026W21,0,25,0
6/1/2026,2026,23,v0.26.0 - 2026W23,0,26,0
6/15/2026,2026,25,v0.27.0 - 2026W25,0,27,0
6/29/2026,2026,27,v0.28.0 - 2026W27,0,28,0
7/13/2026,2026,29,v0.29.0 - 2026W29,0,29,0
7/27/2026,2026,31,v0.30.0 - 2026W31,0,30,0
8/10/2026,2026,33,v0.31.0 - 2026W33,0,31,0
8/24/2026,2026,35,v0.32.0 - 2026W35,0,32,0
9/7/2026,2026,37,v0.33.0 - 2026W37,0,33,0
9/21/2026,2026,39,v0.34.0 - 2026W39,0,34,0
10/5/2026,2026,41,v0.35.0 - 2026W41,0,35,0
10/19/2026,2026,43,v0.36.0 - 2026W43,0,36,0
11/2/2026,2026,45,v0.37.0 - 2026W45,0,37,0
11/16/2026,2026,47,v0.38.0 - 2026W47,0,38,0
11/30/2026,2026,49,v0.39.0 - 2026W49,0,39,0
12/14/2026,2026,51,v0.40.0 - 2026W51,0,40,0
12/28/2026,2026,53,v0.41.0 - 2026W53,0,41,0
1/11/2027,2027,2,v0.42.0 - 2027W02,0,42,0
1/25/2027,2027,4,v0.43.0 - 2027W04,0,43,0
2/8/2027,2027,6,v0.44.0 - 2027W06,0,44,0
2/22/2027,2027,8,v0.45.0 - 2027W08,0,45,0
3/8/2027,2027,10,v0.46.0 - 2027W10,0,46,0
3/22/2027,2027,12,v0.47.0 - 2027W12,0,47,0
4/5/2027,2027,14,v0.48.0 - 2027W14,0,48,0
4/19/2027,2027,16,v0.49.0 - 2027W16,0,49,0
5/3/2027,2027,18,v0.50.0 - 2027W18,0,50,0
5/17/2027,2027,20,v0.51.0 - 2027W20,0,51,0
5/31/2027,2027,22,v0.52.0 - 2027W22,0,52,0
6/14/2027,2027,24,v0.53.0 - 2027W24,0,53,0
6/28/2027,2027,26,v0.54.0 - 2027W26,0,54,0
7/12/2027,2027,28,v0.55.0 - 2027W28,0,55,0
7/26/2027,2027,30,v0.56.0 - 2027W30,0,56,0
8/9/2027,2027,32,v0.57.0 - 2027W32,0,57,0
8/23/2027,2027,34,v0.58.0 - 2027W34,0,58,0
9/6/2027,2027,36,v0.59.0 - 2027W36,0,59,0
9/20/2027,2027,38,v0.60.0 - 2027W38,0,60,0
10/4/2027,2027,40,v0.61.0 - 2027W40,0,61,0
10/18/2027,2027,42,v0.62.0 - 2027W42,0,62,0
11/1/2027,2027,44,v0.63.0 - 2027W44,0,63,0
11/15/2027,2027,46,v0.64.0 - 2027W46,0,64,0
11/29/2027,2027,48,v0.65.0 - 2027W48,0,65,0
12/13/2027,2027,50,v0.66.0 - 2027W50,0,66,0
12/27/2027,2027,52,v0.67.0 - 2027W52,0,67,0
